Genes,Moran's I score,P-values,Adjusted P-values,Gene Indices
FOXP3,0.7251875241570614,0.0,,5417
TNFRSF18,0.689791508591201,0.0,,14
CXCL13,0.6801856256624077,0.0,,3130
ANXA1,0.676115857599279,0.0,,6297
IL32,0.586787997723063,0.0,,9817
CCR7,0.5851850718391252,0.0,,10761
BATF,0.555666961826207,0.0,,9163
S1PR1,0.535010800926871,0.0,,630
IL2RA,0.5101030979738134,0.0,,7407
TIGIT,0.5062752736519727,0.0,,2636
CXCR4,0.5046933421032395,0.0,,1856
RPS12,0.5044256624904231,0.0,,4496
GNG4,0.47076757991971735,0.0,,1283
LAYN,0.4693745644899949,0.0,,7259
CARD16,0.4675218843662454,0.0,,7240
S100A4,0.4609763301018532,0.0,,845
RPS27,0.4357460895181861,0.0,,861
RPL13,0.4343790888701317,0.0,,10351
HSPA1A,0.42921601224433625,0.0,,4136
HSPA1B,0.42731695737646475,0.0,,4137
CTSC,0.4259180102732956,0.0,,7205
CXCR6,0.41002107162194007,0.0,,2375
IL1R2,0.4029206806369577,0.0,,1750
ZFP36L2,0.39943070699402944,0.0,,1492
HSPE1,0.39698152959065314,0.0,,2007
GPR183,0.3953566075204387,0.0,,8771
RGCC,0.3906603142519749,0.0,,8672
PABPC1,0.3878627931290902,0.0,,5992
IGFL2,0.3757606435891647,0.0,,12432
NMB,0.3754404069866598,0.0,,9642
HTATIP2,0.3735015721855702,0.0,,6796
HSPB1,0.37094425751662585,0.0,,4876
FKBP4,0.36646401122381816,0.0,,7890
CD27,0.36358713311839574,0.0,,7909
RPS18,0.36331735210733296,0.0,,4186
SESN3,0.36106243964051254,0.0,,7223
GBP5,0.35752999302639304,0.0,,583
RPL30,0.348357156287823,0.0,,5977
CACYBP,0.34812719006679504,0.0,,1037
HSP90AA1,0.3476253400138742,0.0,,9259
LAG3,0.3468401244363437,0.0,,7930
RPL10,0.3463904538744633,0.0,,5675
HSPH1,0.3450675654394731,0.0,,8644
LTB,0.3442254522087209,0.0,,4117
RPL34,0.3442008012329909,0.0,,3214
TRAT1,0.34047480824312454,0.0,,2606
CTLA4,0.3403351798793776,0.0,,2050
CCR8,0.33946077901276933,0.0,,2336
NR3C1,0.3388853360491911,0.0,,3767
HLA-DRB1,0.33727561657938104,0.0,,4161
RPS27A,0.3358895064695751,0.0,,1530
ACP5,0.3329794595928893,0.0,,11968
RPL28,0.33221299774173235,0.0,,12601
TNFRSF9,0.33166711880678384,0.0,,90
LAIR2,0.3285387670221725,0.0,,12586
AHSA1,0.32749112082760645,0.0,,9181
BHLHE40,0.3265839703258398,0.0,,2211
HSP90AB1,0.3263467142076153,0.0,,4301
CD55,0.3262746373252031,0.0,,1159
GIMAP7,0.32623872753610755,0.0,,5229
ICOS,0.3261578791300931,0.0,,2051
RPL32,0.32590460726282827,0.0,,2250
RPS21,0.325532050318066,0.0,,11677
TBC1D4,0.32509988776640314,0.0,,8741
TNFRSF4,0.3249930207859571,0.0,,15
RPLP2,0.32449891812813425,0.0,,6681
SAT1,0.32183101402870884,0.0,,5337
GNG2,0.3151582302316697,0.0,,9017
CCL5,0.3136362526097586,0.0,,10701
IKZF2,0.31320448773153653,0.0,,2071
SERPINH1,0.31239559365278985,0.0,,7158
SYTL2,0.31043138466671477,0.0,,7197
MIR4435-2HG,0.3092321829182221,0.0,,1776
DNAJB1,0.30914821902040046,0.0,,12032
IL7R,0.30665490338990437,0.0,,3418
CD2,0.3060821678152167,0.0,,718
SELL,0.30601555830869687,0.0,,1014
RPL11,0.3051865696450728,0.0,,202
UBC,0.30413861608152026,0.0,,8564
BAG3,0.3029620519732267,0.0,,7821
RPS3,0.30021360395828506,0.0,,7155
HLA-DRB5,0.2989123589180479,0.0,,4160
KLF2,0.2971392198514256,0.0,,12051
FTH1,0.2960389282317482,0.0,,6922
CST7,0.2907553961220749,0.0,,11473
DNAJA1,0.28867837179135153,0.0,,6210
RPL19,0.288262961716881,0.0,,10735
RPS8,0.2856214357649176,0.0,,429
TPT1,0.2854675176990411,0.0,,8686
CD74,0.2844954511102105,0.0,,3789
HSPD1,0.2835778034275153,0.0,,2006
SYNGR2,0.2829663893061163,0.0,,11116
RPL18A,0.2827610925193982,0.0,,12084
BST2,0.2825195315746394,0.0,,12073
ADGRG1,0.281598611972967,0.0,,10142
ZFP36,0.2797318606935431,0.0,,12297
HSPA8,0.27740710973057753,0.0,,7339
CD200,0.27572890309564557,0.0,,2615
RPL41,0.2756691645355635,0.0,,8204
B2M,0.27361130267034145,0.0,,9421
TNFRSF1B,0.2721206797540222,0.0,,135
RPS3A,0.2698212412184888,0.0,,3295
DUSP4,0.2671360691494253,0.0,,5797
ALOX5AP,0.26643962388225745,0.0,,8643
G0S2,0.2659158947987542,0.0,,1164
STAM,0.26585604623387993,0.0,,7452
TCF7,0.265837999124393,0.0,,3684
RPS14,0.26529171575744975,0.0,,3790
CD7,0.2647559577470236,0.0,,11186
MRPL18,0.26325860676349533,0.0,,4588
PKM,0.26268984174640325,0.0,,9549
RPS25,0.26207528705245664,0.0,,7313
CHORDC1,0.25943504128127887,0.0,,7206
LEF1,0.25903114263903415,0.0,,3212
SLA2,0.25483505935460915,0.0,,11546
ARL6IP5,0.2548082130348538,0.0,,2550
RPS28,0.25427406890457366,0.0,,11895
RPS29,0.25324578247432766,0.0,,8991
PDE7B,0.25318705905468536,0.0,,4504
RPS23,0.2510527740776839,0.0,,3569
RPL3,0.24839258606716078,0.0,,12916
SLC28A3,0.246770163199068,0.0,,6320
BCAT1,0.24664117002088265,0.0,,8021
RTKN2,0.2455766851268825,0.0,,7548
GCNT1,0.24464191933694393,0.0,,6304
GRSF1,0.2438890935413208,0.0,,3110
GAPDH,0.24315226628013475,0.0,,7915
NINJ1,0.24285772360178484,0.0,,6348
PCAT29,0.24272054137097698,0.0,,9545
STIP1,0.24217848566789207,0.0,,6968
ABLIM1,0.2419502233398212,0.0,,7804
CHN1,0.24155775413194647,0.0,,1936
RPS6,0.24011902414584554,0.0,,6188
AC133644.2,0.2400871860516584,0.0,,1678
RPL37,0.23796130286217967,0.0,,3431
